zipcode,area,city
TD2541,"Kampong Lubok Pulau, Tanjong Maya",Tutong
TD1741,"Kampong Penapar, Tanjong Maya",Tutong
TD1341,"Kampong Sebakit, Tanjong Maya",Tutong
TD1941,"Kampong Sungai Damit Pemadang, Tanjong Maya",Tutong
TD1141,"Kampong Tanjong Maya/Meranti, Tanjong Maya",Tutong
TC3145,"Kampong Bukit Beruang, Telisai",Tutong
TC2345,"Kampong Danau, Telisai",Tutong
TC2745,"Kampong Keramut, Telisai",Tutong
TC1745,"Kampong Lalit, Telisai",Tutong
TC2545,"Kampong Penapar, Telisai",Tutong
TC2145,"Kampong Sungai Paku, Telisai",Tutong
TC1945,"Kampong Tanah Jambu, Telisai",Tutong
TC1545,"Kampong Telamba, Telisai",Tutong
TC1145,"Kampong Telisai, Telisai",Tutong
TC2945,"Kampong Tumpuan Ugas, Telisai",Tutong
TC3345,"Perumahan Negara Bukit Beruang, Telisai",Tutong
TC1345,"Perumahan Negara Telisai, Telisai",Tutong
TF4547,"Kampong Bang Bingol, Ukong",Tutong
TF4147,"Kampong Bang Ligi, Ukong",Tutong
TF2547,"Kampong Bang Pangan, Ukong",Tutong
TF3147,"Kampong Bukit, Ukong",Tutong
TF4347,"Kampong Litad, Ukong",Tutong
TF4747,"Kampong Long Mayan, Ukong",Tutong
TF3747,"Kampong Melaboi, Ukong",Tutong
TF1947,"Kampong Nong Anggeh, Ukong",Tutong
TF2947,"Kampong Pak Bidang, Ukong",Tutong
TF2747,"Kampong Pak Meligai, Ukong",Tutong
TF1547,"Kampong Pengkalan Dong, Ukong",Tutong
TF3947,"Kampong Pengkalan Padang, Ukong",Tutong
TF3347,"Kampong Pengkalan Panchor, Ukong",Tutong
TF1347,"Kampong Pengkalan Ran, Ukong",Tutong
TF2347,"Kampong Pitau Lambang, Ukong",Tutong
TF2147,"Kampong Sungai Damit Ulu, Ukong",Tutong
TF3547,"Kampong Talat, Ukong",Tutong
TF1747,"Kampong Tong Kundai, Ukong",Tutong
TF1147,"Kampong Ukong, Ukong",Tutong
